route,template,intent,primary_keyword,entity,source,owner,status,indexability,canonical,last_verified,quality_score
/catalog/chigo/lotos-on-off-169/,series,Модели и варианты серии Lotos on-off 169,Chigo Lotos on-off 169,Chigo / Lotos on-off 169,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/chigo/lotos-on-off-169/,2026-08-20,42
/catalog/chigo/moon-on-off-181/,series,Модели и варианты серии Moon on-off 181,Chigo Moon on-off 181,Chigo / Moon on-off 181,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/chigo/moon-on-off-181/,2026-08-20,42
/catalog/haier/jade-super-match/,series,Модели и варианты серии Jade Super Match,Haier Jade Super Match,Haier / Jade Super Match,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/haier/jade-super-match/,2026-08-20,42
/catalog/haier/flexis-super-match/,series,Модели и варианты серии Flexis Super Match,Haier Flexis Super Match,Haier / Flexis Super Match,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/haier/flexis-super-match/,2026-08-20,42
/catalog/haier/stellar-hp-minus-20/,series,Модели и варианты серии Stellar HP −20 °C,Haier Stellar HP −20 °C,Haier / Stellar HP −20 °C,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/haier/stellar-hp-minus-20/,2026-08-20,42
/catalog/haier/flexis-on-off/,series,Модели и варианты серии Flexis On-Off,Haier Flexis On-Off,Haier / Flexis On-Off,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/haier/flexis-on-off/,2026-08-20,42
/catalog/haier/coral-dc-inverter/,series,Модели и варианты серии Coral DC-Inverter,Haier Coral DC-Inverter,Haier / Coral DC-Inverter,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/haier/coral-dc-inverter/,2026-08-20,42
/catalog/haier/coral-on-off/,series,Модели и варианты серии Coral On-Off,Haier Coral On-Off,Haier / Coral On-Off,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/haier/coral-on-off/,2026-08-20,42
/catalog/haier/tundra-dc-inverter/,series,Модели и варианты серии Tundra DC-Inverter,Haier Tundra DC-Inverter,Haier / Tundra DC-Inverter,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/haier/tundra-dc-inverter/,2026-08-20,42
/catalog/haier/tundra-on-off/,series,Модели и варианты серии Tundra On-Off,Haier Tundra On-Off,Haier / Tundra On-Off,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/haier/tundra-on-off/,2026-08-20,42
/catalog/haier/quantum-inverter/,series,Модели и варианты серии Quantum Inverter,Haier Quantum Inverter,Haier / Quantum Inverter,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/haier/quantum-inverter/,2026-08-20,42
/catalog/haier/quantum-on-off/,series,Модели и варианты серии Quantum On-Off,Haier Quantum On-Off,Haier / Quantum On-Off,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/haier/quantum-on-off/,2026-08-20,42
/catalog/haier/leader-a/,series,Модели и варианты серии Leader-A,Haier Leader-A,Haier / Leader-A,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/haier/leader-a/,2026-08-20,42
/catalog/jax/murray-acy-he-r32-new/,series,Модели и варианты серии Murray ACY-HE R32 NEW,JAX Murray ACY-HE R32 NEW,JAX / Murray ACY-HE R32 NEW,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/jax/murray-acy-he-r32-new/,2026-08-20,42
/catalog/jax/hayman-aci-he-neo-r32/,series,Модели и варианты серии Hayman ACI-HE NEO R32,JAX Hayman ACI-HE NEO R32,JAX / Hayman ACI-HE NEO R32,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/jax/hayman-aci-he-neo-r32/,2026-08-20,42
/catalog/jax/brisbane-aciu-he-r32/,series,Модели и варианты серии Brisbane ACIU-HE R32,JAX Brisbane ACIU-HE R32,JAX / Brisbane ACIU-HE R32,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/jax/brisbane-aciu-he-r32/,2026-08-20,42
/catalog/jax/tasmania-acn-he-r32/,series,Модели и варианты серии Tasmania ACN-HE R32,JAX Tasmania ACN-HE R32,JAX / Tasmania ACN-HE R32,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/jax/tasmania-acn-he-r32/,2026-08-20,42
/catalog/jax/melbourne-acm-he/,series,Модели и варианты серии Melbourne ACM-HE,JAX Melbourne ACM-HE,JAX / Melbourne ACM-HE,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/jax/melbourne-acm-he/,2026-08-20,42
/catalog/jax/york-ace-he-neo/,series,Модели и варианты серии York ACE-HE NEO,JAX York ACE-HE NEO,JAX / York ACE-HE NEO,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/jax/york-ace-he-neo/,2026-08-20,42
/catalog/jax/adelaide-aci-he/,series,Модели и варианты серии Adelaide ACI-HE,JAX Adelaide ACI-HE,JAX / Adelaide ACI-HE,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/jax/adelaide-aci-he/,2026-08-20,42
/catalog/jax/darwin-ack-he/,series,Модели и варианты серии Darwin ACK-HE,JAX Darwin ACK-HE,JAX / Darwin ACK-HE,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/jax/darwin-ack-he/,2026-08-20,42
/catalog/rovex/smart-pro-rs-pxi6-pro/,series,Модели и варианты серии Smart PRO RS-PXI6 PRO,Rovex Smart PRO RS-PXI6 PRO,Rovex / Smart PRO RS-PXI6 PRO,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/rovex/smart-pro-rs-pxi6-pro/,2026-08-20,42
/catalog/rovex/smart-rs-pxi6/,series,Модели и варианты серии SMART RS-PXI6,Rovex SMART RS-PXI6,Rovex / SMART RS-PXI6,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/rovex/smart-rs-pxi6/,2026-08-20,42
/catalog/rovex/star-s-abs-he-s/,series,Модели и варианты серии STAR-S ABS-HE-S,Rovex STAR-S ABS-HE-S,Rovex / STAR-S ABS-HE-S,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/rovex/star-s-abs-he-s/,2026-08-20,42
/catalog/rovex/star-n-abs-he-n/,series,Модели и варианты серии STAR-N ABS-HE-N,Rovex STAR-N ABS-HE-N,Rovex / STAR-N ABS-HE-N,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/rovex/star-n-abs-he-n/,2026-08-20,42
/catalog/rovex/rich-rs-muin1/,series,Модели и варианты серии RICH RS-MUIN1,Rovex RICH RS-MUIN1,Rovex / RICH RS-MUIN1,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/rovex/rich-rs-muin1/,2026-08-20,42
/catalog/rovex/megapolis-rs-cbs4/,series,Модели и варианты серии MEGAPOLIS RS-CBS4,Rovex MEGAPOLIS RS-CBS4,Rovex / MEGAPOLIS RS-CBS4,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/rovex/megapolis-rs-cbs4/,2026-08-20,42
/catalog/rovex/city-pro-rs-cst4-pro/,series,Модели и варианты серии CITY PRO RS-CST4-PRO,Rovex CITY PRO RS-CST4-PRO,Rovex / CITY PRO RS-CST4-PRO,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/rovex/city-pro-rs-cst4-pro/,2026-08-20,42
/catalog/rovex/city-rs-cst4/,series,Модели и варианты серии CITY RS-CST4,Rovex CITY RS-CST4,Rovex / CITY RS-CST4,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/rovex/city-rs-cst4/,2026-08-20,42
/catalog/rovex/mira-s-ast-he-s/,series,Модели и варианты серии MIRA-S AST-HE-S,Rovex MIRA-S AST-HE-S,Rovex / MIRA-S AST-HE-S,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/rovex/mira-s-ast-he-s/,2026-08-20,42
/catalog/rovex/mira-n-ast-he-n/,series,Модели и варианты серии MIRA-N AST-HE-N,Rovex MIRA-N AST-HE-N,Rovex / MIRA-N AST-HE-N,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/rovex/mira-n-ast-he-n/,2026-08-20,42
/catalog/rovex/grace-rs-mst1/,series,Модели и варианты серии GRACE RS-MST1,Rovex GRACE RS-MST1,Rovex / GRACE RS-MST1,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/rovex/grace-rs-mst1/,2026-08-20,42
/catalog/rovex/cst-5-unite/,series,Модели и варианты серии CST-5 UNITE,Rovex CST-5 UNITE,Rovex / CST-5 UNITE,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/rovex/cst-5-unite/,2026-08-20,42
/catalog/rovex/cst5-pro/,series,Модели и варианты серии ROVEX CST5 PRO,Rovex ROVEX CST5 PRO,Rovex / ROVEX CST5 PRO,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/rovex/cst5-pro/,2026-08-20,42
/catalog/rovex/rs-cbs5-pro/,series,Модели и варианты серии RS-CBS5 PRO,Rovex RS-CBS5 PRO,Rovex / RS-CBS5 PRO,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/rovex/rs-cbs5-pro/,2026-08-20,42
/catalog/vickers/rook-vch-he/,series,Модели и варианты серии ROOK VCH-HE,Vickers ROOK VCH-HE,Vickers / ROOK VCH-HE,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/vickers/rook-vch-he/,2026-08-20,42
/catalog/vickers/tanya/,series,Модели и варианты серии Tanya,Vickers Tanya,Vickers / Tanya,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/vickers/tanya/,2026-08-20,42
/catalog/vickers/tanya-max/,series,Модели и варианты серии Tanya Max,Vickers Tanya Max,Vickers / Tanya Max,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/vickers/tanya-max/,2026-08-20,42
/catalog/vickers/vera-max-vg-he-max/,series,Модели и варианты серии VERA MAX VG-HE MAX,Vickers VERA MAX VG-HE MAX,Vickers / VERA MAX VG-HE MAX,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/vickers/vera-max-vg-he-max/,2026-08-20,42
/catalog/vickers/vera-vg-he/,series,Модели и варианты серии VERA VG-HE,Vickers VERA VG-HE,Vickers / VERA VG-HE,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/vickers/vera-vg-he/,2026-08-20,42
/catalog/vickers/viking-ve-he/,series,Модели и варианты серии VIKING VE-HE,Vickers VIKING VE-HE,Vickers / VIKING VE-HE,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/vickers/viking-ve-he/,2026-08-20,42
/catalog/chigo/sunrise-inverter-268/cs-25v3g-1k268-belyy/,product,Проверка и подбор варианта cs-25v3g-1k268-belyy,Chigo Sunrise Inverter 268 cs-25v3g-1k268-belyy,Chigo / Sunrise Inverter 268 / cs-25v3g-1k268-belyy,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/sunrise-inverter-268/cs-25v3g-1k268-belyy/,2026-08-20,28
/catalog/chigo/sunrise-inverter-268/cs-25v3g-1k268-chernyy/,product,Проверка и подбор варианта cs-25v3g-1k268-chernyy,Chigo Sunrise Inverter 268 cs-25v3g-1k268-chernyy,Chigo / Sunrise Inverter 268 / cs-25v3g-1k268-chernyy,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/sunrise-inverter-268/cs-25v3g-1k268-chernyy/,2026-08-20,28
/catalog/chigo/sunrise-inverter-268/cs-35v3g-1k268-belyy/,product,Проверка и подбор варианта cs-35v3g-1k268-belyy,Chigo Sunrise Inverter 268 cs-35v3g-1k268-belyy,Chigo / Sunrise Inverter 268 / cs-35v3g-1k268-belyy,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/sunrise-inverter-268/cs-35v3g-1k268-belyy/,2026-08-20,28
/catalog/chigo/sunrise-inverter-268/cs-35v3g-1k268-chernyy/,product,Проверка и подбор варианта cs-35v3g-1k268-chernyy,Chigo Sunrise Inverter 268 cs-35v3g-1k268-chernyy,Chigo / Sunrise Inverter 268 / cs-35v3g-1k268-chernyy,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/sunrise-inverter-268/cs-35v3g-1k268-chernyy/,2026-08-20,28
/catalog/chigo/alba-inverter-150/cs-21v3a-b150/,product,Проверка и подбор варианта cs-21v3a-b150,Chigo Alba Inverter 150 cs-21v3a-b150,Chigo / Alba Inverter 150 / cs-21v3a-b150,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/alba-inverter-150/cs-21v3a-b150/,2026-08-20,28
/catalog/chigo/alba-inverter-150/cs-25v3a-b150/,product,Проверка и подбор варианта cs-25v3a-b150,Chigo Alba Inverter 150 cs-25v3a-b150,Chigo / Alba Inverter 150 / cs-25v3a-b150,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/alba-inverter-150/cs-25v3a-b150/,2026-08-20,28
/catalog/chigo/alba-inverter-150/cs-35v3a-1c150/,product,Проверка и подбор варианта cs-35v3a-1c150,Chigo Alba Inverter 150 cs-35v3a-1c150,Chigo / Alba Inverter 150 / cs-35v3a-1c150,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/alba-inverter-150/cs-35v3a-1c150/,2026-08-20,28
/catalog/chigo/alba-inverter-150/cs-51v3a-1b150/,product,Проверка и подбор варианта cs-51v3a-1b150,Chigo Alba Inverter 150 cs-51v3a-1b150,Chigo / Alba Inverter 150 / cs-51v3a-1b150,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/alba-inverter-150/cs-51v3a-1b150/,2026-08-20,28
/catalog/chigo/alba-inverter-150/cs-61v3a-1d150/,product,Проверка и подбор варианта cs-61v3a-1d150,Chigo Alba Inverter 150 cs-61v3a-1d150,Chigo / Alba Inverter 150 / cs-61v3a-1d150,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/alba-inverter-150/cs-61v3a-1d150/,2026-08-20,28
/catalog/chigo/king-inverter-172/cs-25v3a-1c172-belyy/,product,Проверка и подбор варианта cs-25v3a-1c172-belyy,Chigo King Inverter 172 cs-25v3a-1c172-belyy,Chigo / King Inverter 172 / cs-25v3a-1c172-belyy,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/king-inverter-172/cs-25v3a-1c172-belyy/,2026-08-20,28
/catalog/chigo/king-inverter-172/cs-25v3a-1c172-chernyy/,product,Проверка и подбор варианта cs-25v3a-1c172-chernyy,Chigo King Inverter 172 cs-25v3a-1c172-chernyy,Chigo / King Inverter 172 / cs-25v3a-1c172-chernyy,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/king-inverter-172/cs-25v3a-1c172-chernyy/,2026-08-20,28
/catalog/chigo/king-inverter-172/cs-35v3a-1c172-belyy/,product,Проверка и подбор варианта cs-35v3a-1c172-belyy,Chigo King Inverter 172 cs-35v3a-1c172-belyy,Chigo / King Inverter 172 / cs-35v3a-1c172-belyy,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/king-inverter-172/cs-35v3a-1c172-belyy/,2026-08-20,28
/catalog/chigo/king-inverter-172/cs-35v3a-1c172-chernyy/,product,Проверка и подбор варианта cs-35v3a-1c172-chernyy,Chigo King Inverter 172 cs-35v3a-1c172-chernyy,Chigo / King Inverter 172 / cs-35v3a-1c172-chernyy,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/king-inverter-172/cs-35v3a-1c172-chernyy/,2026-08-20,28
/catalog/chigo/king-inverter-172/cs-51v3a-1b172-belyy/,product,Проверка и подбор варианта cs-51v3a-1b172-belyy,Chigo King Inverter 172 cs-51v3a-1b172-belyy,Chigo / King Inverter 172 / cs-51v3a-1b172-belyy,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/king-inverter-172/cs-51v3a-1b172-belyy/,2026-08-20,28
/catalog/chigo/king-inverter-172/cs-51v3a-1b172-chernyy/,product,Проверка и подбор варианта cs-51v3a-1b172-chernyy,Chigo King Inverter 172 cs-51v3a-1b172-chernyy,Chigo / King Inverter 172 / cs-51v3a-1b172-chernyy,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/king-inverter-172/cs-51v3a-1b172-chernyy/,2026-08-20,28
/catalog/chigo/lotos-on-off-169/cs-21h3a-b169/,product,Проверка и подбор варианта cs-21h3a-b169,Chigo Lotos on-off 169 cs-21h3a-b169,Chigo / Lotos on-off 169 / cs-21h3a-b169,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/lotos-on-off-169/cs-21h3a-b169/,2026-08-20,28
/catalog/chigo/lotos-on-off-169/cs-25h3a-b169/,product,Проверка и подбор варианта cs-25h3a-b169,Chigo Lotos on-off 169 cs-25h3a-b169,Chigo / Lotos on-off 169 / cs-25h3a-b169,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/lotos-on-off-169/cs-25h3a-b169/,2026-08-20,28
/catalog/chigo/lotos-on-off-169/cs-35h3a-1c169/,product,Проверка и подбор варианта cs-35h3a-1c169,Chigo Lotos on-off 169 cs-35h3a-1c169,Chigo / Lotos on-off 169 / cs-35h3a-1c169,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/lotos-on-off-169/cs-35h3a-1c169/,2026-08-20,28
/catalog/chigo/lotos-on-off-169/vetka-51/,product,Проверка и подбор варианта vetka-51,Chigo Lotos on-off 169 vetka-51,Chigo / Lotos on-off 169 / vetka-51,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/lotos-on-off-169/vetka-51/,2026-08-20,28
/catalog/chigo/lotos-on-off-169/ct3s-100h3a-1e169/,product,Проверка и подбор варианта ct3s-100h3a-1e169,Chigo Lotos on-off 169 ct3s-100h3a-1e169,Chigo / Lotos on-off 169 / ct3s-100h3a-1e169,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/lotos-on-off-169/ct3s-100h3a-1e169/,2026-08-20,28
/catalog/chigo/moon-on-off-181/cs-21h3a-b181/,product,Проверка и подбор варианта cs-21h3a-b181,Chigo Moon on-off 181 cs-21h3a-b181,Chigo / Moon on-off 181 / cs-21h3a-b181,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/moon-on-off-181/cs-21h3a-b181/,2026-08-20,28
/catalog/chigo/moon-on-off-181/cs-25h3a-b181/,product,Проверка и подбор варианта cs-25h3a-b181,Chigo Moon on-off 181 cs-25h3a-b181,Chigo / Moon on-off 181 / cs-25h3a-b181,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/moon-on-off-181/cs-25h3a-b181/,2026-08-20,28
/catalog/chigo/moon-on-off-181/cs-35h3a-1c181/,product,Проверка и подбор варианта cs-35h3a-1c181,Chigo Moon on-off 181 cs-35h3a-1c181,Chigo / Moon on-off 181 / cs-35h3a-1c181,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/moon-on-off-181/cs-35h3a-1c181/,2026-08-20,28
/catalog/chigo/moon-on-off-181/cs-51h3a-1b181/,product,Проверка и подбор варианта cs-51h3a-1b181,Chigo Moon on-off 181 cs-51h3a-1b181,Chigo / Moon on-off 181 / cs-51h3a-1b181,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/moon-on-off-181/cs-51h3a-1b181/,2026-08-20,28
/catalog/chigo/moon-on-off-181/cs-61h3a-1d181/,product,Проверка и подбор варианта cs-61h3a-1d181,Chigo Moon on-off 181 cs-61h3a-1d181,Chigo / Moon on-off 181 / cs-61h3a-1d181,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/moon-on-off-181/cs-61h3a-1d181/,2026-08-20,28
/catalog/chigo/moon-on-off-181/cs-88h3a-1h181/,product,Проверка и подбор варианта cs-88h3a-1h181,Chigo Moon on-off 181 cs-88h3a-1h181,Chigo / Moon on-off 181 / cs-88h3a-1h181,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/moon-on-off-181/cs-88h3a-1h181/,2026-08-20,28
/catalog/chigo/moon-on-off-181/ct3s-100h3a-1e181/,product,Проверка и подбор варианта ct3s-100h3a-1e181,Chigo Moon on-off 181 ct3s-100h3a-1e181,Chigo / Moon on-off 181 / ct3s-100h3a-1e181,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/chigo/moon-on-off-181/ct3s-100h3a-1e181/,2026-08-20,28
/catalog/haier/jade-super-match/as25-gold/,product,Проверка и подбор варианта as25-gold,Haier Jade Super Match as25-gold,Haier / Jade Super Match / as25-gold,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/jade-super-match/as25-gold/,2026-08-20,28
/catalog/haier/jade-super-match/as25-silver/,product,Проверка и подбор варианта as25-silver,Haier Jade Super Match as25-silver,Haier / Jade Super Match / as25-silver,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/jade-super-match/as25-silver/,2026-08-20,28
/catalog/haier/jade-super-match/as25-white/,product,Проверка и подбор варианта as25-white,Haier Jade Super Match as25-white,Haier / Jade Super Match / as25-white,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/jade-super-match/as25-white/,2026-08-20,28
/catalog/haier/jade-super-match/as35-gold/,product,Проверка и подбор варианта as35-gold,Haier Jade Super Match as35-gold,Haier / Jade Super Match / as35-gold,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/jade-super-match/as35-gold/,2026-08-20,28
/catalog/haier/jade-super-match/as35-silver/,product,Проверка и подбор варианта as35-silver,Haier Jade Super Match as35-silver,Haier / Jade Super Match / as35-silver,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/jade-super-match/as35-silver/,2026-08-20,28
/catalog/haier/jade-super-match/as35-white/,product,Проверка и подбор варианта as35-white,Haier Jade Super Match as35-white,Haier / Jade Super Match / as35-white,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/jade-super-match/as35-white/,2026-08-20,28
/catalog/haier/jade-super-match/as50-gold/,product,Проверка и подбор варианта as50-gold,Haier Jade Super Match as50-gold,Haier / Jade Super Match / as50-gold,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/jade-super-match/as50-gold/,2026-08-20,28
/catalog/haier/jade-super-match/as50-silver/,product,Проверка и подбор варианта as50-silver,Haier Jade Super Match as50-silver,Haier / Jade Super Match / as50-silver,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/jade-super-match/as50-silver/,2026-08-20,28
/catalog/haier/jade-super-match/as50-white/,product,Проверка и подбор варианта as50-white,Haier Jade Super Match as50-white,Haier / Jade Super Match / as50-white,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/jade-super-match/as50-white/,2026-08-20,28
/catalog/haier/flexis-super-match/as25-black/,product,Проверка и подбор варианта as25-black,Haier Flexis Super Match as25-black,Haier / Flexis Super Match / as25-black,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/flexis-super-match/as25-black/,2026-08-20,28
/catalog/haier/flexis-super-match/as25-gold/,product,Проверка и подбор варианта as25-gold,Haier Flexis Super Match as25-gold,Haier / Flexis Super Match / as25-gold,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/flexis-super-match/as25-gold/,2026-08-20,28
/catalog/haier/flexis-super-match/as25-white/,product,Проверка и подбор варианта as25-white,Haier Flexis Super Match as25-white,Haier / Flexis Super Match / as25-white,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/flexis-super-match/as25-white/,2026-08-20,28
/catalog/haier/flexis-super-match/as35-black/,product,Проверка и подбор варианта as35-black,Haier Flexis Super Match as35-black,Haier / Flexis Super Match / as35-black,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/flexis-super-match/as35-black/,2026-08-20,28
/catalog/haier/flexis-super-match/as35-gold/,product,Проверка и подбор варианта as35-gold,Haier Flexis Super Match as35-gold,Haier / Flexis Super Match / as35-gold,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/flexis-super-match/as35-gold/,2026-08-20,28
/catalog/haier/flexis-super-match/as35-white/,product,Проверка и подбор варианта as35-white,Haier Flexis Super Match as35-white,Haier / Flexis Super Match / as35-white,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/flexis-super-match/as35-white/,2026-08-20,28
/catalog/haier/flexis-super-match/as50-black/,product,Проверка и подбор варианта as50-black,Haier Flexis Super Match as50-black,Haier / Flexis Super Match / as50-black,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/flexis-super-match/as50-black/,2026-08-20,28
/catalog/haier/flexis-super-match/as50-gold/,product,Проверка и подбор варианта as50-gold,Haier Flexis Super Match as50-gold,Haier / Flexis Super Match / as50-gold,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/flexis-super-match/as50-gold/,2026-08-20,28
/catalog/haier/flexis-super-match/as50-white/,product,Проверка и подбор варианта as50-white,Haier Flexis Super Match as50-white,Haier / Flexis Super Match / as50-white,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/flexis-super-match/as50-white/,2026-08-20,28
/catalog/haier/flexis-super-match/as70-black/,product,Проверка и подбор варианта as70-black,Haier Flexis Super Match as70-black,Haier / Flexis Super Match / as70-black,MASTER_PROMPT model map; passport required,catalog,draft,noindex,/catalog/haier/flexis-super-match/as70-black/,2026-08-20,28
